Date,Tournament,Surface,Round,Roger's Ranking,Opponent's Ranking,Score,Total Points,Aces,Double Faults,Service Points,First Serve Points,Second Serve Points,Opponent Aces,Time,Abandon,W/O,RF Win,Adversaire,Decompte ATP,Year,Month,Nber of Sets
2006-05-08,Rome Masters,Clay,R32,1,81,6-3 7-6(2),163,2,2,80,39,41,0,111,0,0,1,Potito Starace,Federer,2006,5,2
2006-05-08,Rome Masters,Clay,R64,1,30,6-2 6-1,101,3,0,51,29,22,0,68,0,0,1,Juan Ignacio Chela,Federer,2006,5,2
2006-04-17,Monte Carlo Masters,Clay,F,1,2,6-2 6-7(2) 6-3 7-6(5),295,3,3,143,86,57,1,230,0,0,0,Rafael Nadal,Rafael Nadal,2006,4,4
2006-04-17,Monte Carlo Masters,Clay,SF,1,21,6-2 6-4,107,3,0,52,36,16,0,69,0,0,1,Fernando Gonzalez,Federer,2006,4,2
2006-04-17,Monte Carlo Masters,Clay,QF,1,15,6-1 6-3,96,3,1,45,28,17,1,61,0,0,1,David Ferrer,Federer,2006,4,2
2006-04-17,Monte Carlo Masters,Clay,R16,1,351,6-3 6-2,96,3,0,44,30,14,2,55,0,0,1,Benjamin Balleret,Federer,2006,4,2
2006-04-17,Monte Carlo Masters,Clay,R32,1,66,6-0 6-1,70,2,1,33,20,13,0,46,0,0,1,Alberto Martin,Federer,2006,4,2
2006-04-17,Monte Carlo Masters,Clay,R64,1,67,6-3 2-6 6-3,167,1,0,73,39,34,1,109,0,0,1,Novak Djokovic,Federer,2006,4,3
2006-03-20,Miami Masters,Hard,F,1,6,7-6(5) 7-6(4) 7-6(6),245,8,3,124,78,46,21,177,0,0,1,Ivan Ljubicic,Federer,2006,3,3
2006-03-20,Miami Masters,Hard,SF,1,11,6-1 6-4,104,2,1,52,35,17,0,60,0,0,1,David Ferrer,Federer,2006,3,2
2006-03-20,Miami Masters,Hard,QF,1,9,7-6(2) 6-4,149,6,1,78,46,32,4,87,0,0,1,James Blake,Federer,2006,3,2
2006-03-20,Miami Masters,Hard,R16,1,36,6-3 6-3,99,5,2,43,29,14,4,58,0,0,1,Dmitry Tursunov,Federer,2006,3,2
2006-03-20,Miami Masters,Hard,R32,1,28,6-1 6-3,110,4,2,55,36,19,2,74,0,0,1,Tommy Haas,Federer,2006,3,2
2006-03-20,Miami Masters,Hard,R64,1,53,6-2 6-7(4) 6-0,169,6,2,94,60,34,2,119,0,0,1,Arnaud Clement,Federer,2006,3,3
2006-03-06,Indian Wells Masters,Hard,F,1,14,7-5 6-3 6-0,168,3,1,79,46,33,3,103,0,0,1,James Blake,Federer,2006,3,3
2006-03-06,Indian Wells Masters,Hard,SF,1,61,6-2 6-3,105,3,0,50,36,14,4,60,0,0,1,Paradorn Srichaphan,Federer,2006,3,2
2006-03-06,Indian Wells Masters,Hard,QF,1,6,6-2 6-3,104,5,1,53,37,16,4,67,0,0,1,Ivan Ljubicic,Federer,2006,3,2
2006-03-06,Indian Wells Masters,Hard,R16,1,18,6-3 6-4,100,3,1,48,32,16,1,57,0,0,1,Richard Gasquet,Federer,2006,3,2
2006-03-06,Indian Wells Masters,Hard,R32,1,32,3-6 6-2 7-5,184,8,3,97,54,43,1,114,0,0,1,Olivier Rochus,Federer,2006,3,3
2006-03-06,Indian Wells Masters,Hard,R64,1,47,6-3 7-6(4),133,3,1,66,40,26,2,94,0,0,1,Nicolas Massu,Federer,2006,3,2
2006-02-27,Dubai,Hard,F,1,2,2-6 6-4 6-4,149,9,0,69,41,28,1,113,0,0,0,Rafael Nadal,Rafael Nadal,2006,2,3
2006-02-27,Dubai,Hard,SF,1,52,6-2 6-3,112,3,0,58,31,27,4,66,0,0,1,Mikhail Youzhny,Federer,2006,2,2
2006-02-27,Dubai,Hard,QF,1,75,6-3 6-2,100,8,1,56,40,16,2,58,0,0,1,Robin Vik,Federer,2006,2,2
2006-02-27,Dubai,Hard,R16,1,488,7-6(5) 6-4,156,7,0,67,45,22,6,88,0,0,1,Mohammad Ghareeb,Federer,2006,2,2
2006-02-27,Dubai,Hard,R32,1,57,7-6(3) 6-3,133,3,0,71,46,25,2,81,0,0,1,Stan Wawrinka,Federer,2006,2,2
2006-01-16,Australian Open,Hard,F,1,54,5-7 7-5 6-0 6-2,258,11,6,144,77,67,6,166,0,0,1,Marcos Baghdatis,Federer,2006,1,4
2006-01-16,Australian Open,Hard,SF,1,25,6-3 5-7 6-0 6-2,228,7,5,106,70,36,14,160,0,0,1,Nicolas Kiefer,Federer,2006,1,4
2006-01-16,Australian Open,Hard,QF,1,5,6-4 3-6 7-6(7) 7-6(5),283,6,0,139,86,53,1,193,0,0,1,Nikolay Davydenko,Federer,2006,1,4
2006-01-16,Australian Open,Hard,R16,1,41,6-4 6-0 3-6 4-6 6-2,270,10,1,132,77,55,5,178,0,0,1,Tommy Haas,Federer,2006,1,5
2006-01-16,Australian Open,Hard,R32,1,34,6-3 6-4 6-3,178,6,2,70,47,23,5,109,0,0,1,Max Mirnyi,Federer,2006,1,3
2006-01-16,Australian Open,Hard,R64,1,69,6-1 6-4 6-0,143,9,1,74,45,29,2,72,0,0,1,Florian Mayer,Federer,2006,1,3
2006-01-16,Australian Open,Hard,R128,1,195,6-2 6-3 6-2,150,2,0,67,46,21,8,83,0,0,1,Denis Istomin,Federer,2006,1,3
2006-01-02,Doha,Hard,F,1,30,6-3 7-6(5),165,2,0,69,40,29,12,115,0,0,1,Gael Monfils,Federer,2006,1,2
2006-01-02,Doha,Hard,SF,1,45,6-3 6-3,104,3,3,55,26,29,2,70,0,0,1,Tommy Haas,Federer,2006,1,2
2006-01-02,Doha,Hard,QF,1,55,6-4 6-3,114,3,1,61,43,18,4,69,0,0,1,Marcos Baghdatis,Federer,2006,1,2
2006-01-02,Doha,Hard,R16,1,58,7-6(2) 7-6(5),166,11,0,74,57,17,4,95,0,0,1,Fabrice Santoro,Federer,2006,1,2
2006-01-02,Doha,Hard,R32,1,73,6-1 6-3,128,0,1,62,33,29,5,64,0,0,1,Ivo Minar,Federer,2006,1,2
2005-11-14,Masters Cup,Carpet,F,1,12,6-7(4) 6-7(11) 6-2 6-1 7-6(3),386,9,8,190,113,77,2,273,0,0,0,David Nalbandian,David Nalbandian,2005,11,5
2005-11-14,Masters Cup,Carpet,SF,1,9,6-0 6-0,80,5,0,36,18,18,0,50,0,0,1,Gaston Gaudio,Federer,2005,11,2
2005-11-14,Masters Cup,Carpet,RR,1,12,6-3 2-6 6-4,159,2,3,81,51,30,1,109,0,0,1,David Nalbandian,Federer,2005,11,3
2005-11-14,Masters Cup,Carpet,RR,1,8,6-3 2-6 7-6(4),198,4,0,90,52,38,10,138,0,0,1,Ivan Ljubicic,Federer,2005,11,3
2005-11-14,Masters Cup,Carpet,RR,1,6,6-0 1-6 6-2,134,3,2,64,46,18,0,85,0,0,1,Guillermo Coria,Federer,2005,11,3
2005-09-26,Bangkok,Hard,F,1,109,6-3 7-5,142,2,2,67,36,31,6,86,0,0,1,Andy Murray,Federer,2005,9,2
2005-09-26,Bangkok,Hard,SF,1,42,6-3 6-4,107,4,2,56,44,12,2,57,0,0,1,Jarkko Nieminen,Federer,2005,9,2
2005-09-26,Bangkok,Hard,QF,1,66,6-4 6-3,118,6,0,50,28,22,7,71,0,0,1,Gilles Muller,Federer,2005,9,2
2005-09-26,Bangkok,Hard,R16,1,239,6-3 6-2,116,3,1,66,38,28,1,63,0,0,1,Denis Gremelmayr,Federer,2005,9,2
2005-09-26,Bangkok,Hard,R32,1,133,7-6(4) 6-4,159,5,1,64,41,23,4,92,0,0,1,Marcos Daniel,Federer,2005,9,2
2005-09-23,Davis Cup WG PO: SUI vs GBR,Clay,RR,1,262,6-0 6-0 6-2,,,,,,,,,0,0,1,Alan Mackin,Federer,2005,9,3
2005-08-29,US Open,Hard,F,1,7,6-3 2-6 7-6(1) 6-1,238,19,0,107,81,26,6,139,0,0,1,Andre Agassi,Federer,2005,8,4
2005-08-29,US Open,Hard,SF,1,4,6-3 7-6(0) 4-6 6-3,290,8,2,150,91,59,6,178,0,0,1,Lleyton Hewitt,Federer,2005,8,4
2005-08-29,US Open,Hard,QF,1,11,6-2 6-4 6-1,149,11,0,74,40,34,0,99,0,0,1,David Nalbandian,Federer,2005,8,3
2005-08-29,US Open,Hard,R16,1,38,6-4 6-7(3) 6-3 6-4,264,7,4,133,81,52,12,180,0,0,1,Nicolas Kiefer,Federer,2005,8,4
2005-08-29,US Open,Hard,R32,1,29,6-3 7-6(6) 6-2,192,10,2,95,66,29,2,114,0,0,1,Olivier Rochus,Federer,2005,8,3
2005-08-29,US Open,Hard,R64,1,76,7-5 7-5 7-6(2),231,9,3,111,76,35,5,137,0,0,1,Fabrice Santoro,Federer,2005,8,3
2005-08-29,US Open,Hard,R128,1,77,6-1 6-1 6-1,122,11,2,63,45,18,3,63,0,0,1,Ivo Minar,Federer,2005,8,3
2005-08-15,Cincinnati Masters,Hard,F,1,5,6-3 7-5,109,5,1,50,32,18,11,75,0,0,1,Andy Roddick,Federer,2005,8,2
2005-08-15,Cincinnati Masters,Hard,SF,1,58,4-6 7-5 6-4,174,12,1,77,49,28,3,108,0,0,1,Robby Ginepri,Federer,2005,8,3
2005-08-15,Cincinnati Masters,Hard,QF,1,52,6-4 6-3,119,7,1,60,38,22,6,76,0,0,1,Jose Acasuso,Federer,2005,8,2
2005-08-15,Cincinnati Masters,Hard,R16,1,34,6-3 6-4,104,14,2,50,37,13,0,63,0,0,1,Olivier Rochus,Federer,2005,8,2
2005-08-15,Cincinnati Masters,Hard,R32,1,38,4-6 6-4 6-4,179,7,2,82,48,34,7,133,0,0,1,Nicolas Kiefer,Federer,2005,8,3
2005-08-15,Cincinnati Masters,Hard,R64,1,70,7-6(3) 7-5,164,4,2,79,50,29,8,98,0,0,1,James Blake,Federer,2005,8,2
2005-06-20,Wimbledon,Grass,F,1,4,6-2 7-6(2) 6-4,175,12,0,79,49,30,7,101,0,0,1,Andy Roddick,Federer,2005,6,3
2005-06-20,Wimbledon,Grass,SF,1,2,6-3 6-4 7-6(4),196,10,3,94,49,45,5,128,0,0,1,Lleyton Hewitt,Federer,2005,6,3
2005-06-20,Wimbledon,Grass,QF,1,24,7-5 6-2 7-6(2),187,9,0,89,53,36,5,111,0,0,1,Fernando Gonzalez,Federer,2005,6,3
2005-06-20,Wimbledon,Grass,R16,1,31,6-3 6-4 7-6(6),212,12,1,102,67,35,4,135,0,0,1,Juan Carlos Ferrero,Federer,2005,6,3
2005-06-20,Wimbledon,Grass,R32,1,26,6-2 6-7(5) 6-1 7-5,223,14,4,115,81,34,5,155,0,0,1,Nicolas Kiefer,Federer,2005,6,4
2005-06-20,Wimbledon,Grass,R64,1,99,6-4 6-4 6-1,165,10,1,72,54,18,3,82,0,0,1,Ivo Minar,Federer,2005,6,3
2005-06-20,Wimbledon,Grass,R128,1,58,6-4 6-2 6-4,167,18,1,72,51,21,2,110,0,0,1,Paul Henri Mathieu,Federer,2005,6,3
2005-06-06,Halle,Grass,F,1,5,6-4 6-7(6) 6-4,194,9,1,97,59,38,12,125,0,0,1,Marat Safin,Federer,2005,6,3
2005-06-06,Halle,Grass,SF,1,23,6-4 7-6(9),148,8,0,63,44,19,7,99,0,0,1,Tommy Haas,Federer,2005,6,2
2005-06-06,Halle,Grass,QF,1,71,6-3 6-4,105,10,2,56,38,18,3,62,0,0,1,Philipp Kohlschreiber,Federer,2005,6,2
2005-06-06,Halle,Grass,R16,1,60,6-2 6-4,105,5,1,43,33,10,3,58,0,0,1,Florian Mayer,Federer,2005,6,2
2005-06-06,Halle,Grass,R32,1,35,6-7(5) 7-6(6) 6-4,237,9,2,112,80,32,15,141,0,0,1,Robin Soderling,Federer,2005,6,3
2005-05-23,Roland Garros,Clay,SF,1,5,6-3 4-6 6-4 6-3,239,3,5,119,74,45,2,167,0,0,0,Rafael Nadal,Rafael Nadal,2005,5,4
2005-05-23,Roland Garros,Clay,QF,1,90,6-2 7-6(3) 6-3,202,7,7,92,43,49,2,124,0,0,1,Victor Hanescu,Federer,2005,5,3
2005-05-23,Roland Garros,Clay,R16,1,15,6-1 6-4 6-3,172,2,2,77,44,33,0,102,0,0,1,Carlos Moya,Federer,2005,5,3
2005-05-23,Roland Garros,Clay,R32,1,26,7-6(9) 7-5 6-2,208,11,1,96,63,33,1,130,0,0,1,Fernando Gonzalez,Federer,2005,5,3
2005-05-23,Roland Garros,Clay,R64,1,76,6-3 7-6(0) 6-2,179,6,3,88,53,35,7,107,0,0,1,Nicolas Almagro,Federer,2005,5,3
2005-05-23,Roland Garros,Clay,R128,1,264,6-1 6-4 6-0,154,2,5,75,47,28,0,89,0,0,1,Dudi Sela,Federer,2005,5,3
2005-05-09,Hamburg Masters,Clay,F,1,56,6-3 7-5 7-6(4),200,4,4,112,70,42,1,133,0,0,1,Richard Gasquet,Federer,2005,5,3
2005-05-09,Hamburg Masters,Clay,SF,1,20,6-3 6-4,109,0,0,62,38,24,0,72,0,0,1,Nikolay Davydenko,Federer,2005,5,2
2005-05-09,Hamburg Masters,Clay,QF,1,8,6-4 7-6(3),138,5,2,66,39,27,2,95,0,0,1,Guillermo Coria,Federer,2005,5,2
2005-05-09,Hamburg Masters,Clay,R16,1,16,6-2 6-3,104,2,3,55,29,26,1,67,0,0,1,Tommy Robredo,Federer,2005,5,2
2005-05-09,Hamburg Masters,Clay,R32,1,46,6-2 6-1,81,4,0,41,25,16,2,54,0,0,1,Tomas Berdych,Federer,2005,5,2
2005-05-09,Hamburg Masters,Clay,R64,1,48,6-4 6-3,106,6,0,49,31,18,0,73,0,0,1,Fernando Verdasco,Federer,2005,5,2
2005-04-11,Monte Carlo Masters,Clay,QF,1,101,6-7(1) 6-2 7-6(8),225,4,1,112,69,43,1,140,0,0,0,Richard Gasquet,Richard Gasquet,2005,4,3
2005-04-11,Monte Carlo Masters,Clay,R16,1,26,6-2 6-7(3) 6-4,217,9,0,93,52,41,6,141,0,0,1,Fernando Gonzalez,Federer,2005,4,3
2005-04-11,Monte Carlo Masters,Clay,R32,1,62,6-3 6-4,110,4,3,62,39,23,5,60,0,0,1,Albert Montanes,Federer,2005,4,2
2005-04-11,Monte Carlo Masters,Clay,R64,1,44,6-3 6-1,104,0,1,46,28,18,2,63,0,0,1,Greg Rusedski,Federer,2005,4,2
2005-03-21,Miami Masters,Hard,F,1,31,2-6 6-7(4) 7-6(5) 6-3 6-1,307,9,9,151,90,61,4,223,0,0,1,Rafael Nadal,Federer,2005,3,5
2005-03-21,Miami Masters,Hard,SF,1,10,6-4 6-3,126,8,2,66,41,25,1,85,0,0,1,Andre Agassi,Federer,2005,3,2
2005-03-21,Miami Masters,Hard,QF,1,7,6-4 6-2,98,2,0,49,32,17,5,72,0,0,1,Tim Henman,Federer,2005,3,2
2005-03-21,Miami Masters,Hard,R16,1,20,6-3 4-6 6-4,158,5,2,76,50,26,6,106,0,0,1,Mario Ancic,Federer,2005,3,3
2005-03-21,Miami Masters,Hard,R32,1,52,6-2 5-7 6-3,195,11,2,92,52,40,4,137,0,0,1,Mariano Zabaleta,Federer,2005,3,3
2005-03-21,Miami Masters,Hard,R64,1,40,6-3 6-1,114,12,1,39,24,15,1,72,0,0,1,Olivier Rochus,Federer,2005,3,2
2005-03-07,Indian Wells Masters,Hard,F,1,2,6-2 6-4 6-4,178,14,3,84,48,36,5,114,0,0,1,Lleyton Hewitt,Federer,2005,3,3
2005-03-07,Indian Wells Masters,Hard,SF,1,14,6-3 6-1,108,7,2,56,34,22,2,73,0,0,1,Guillermo Canas,Federer,2005,3,2
2005-03-07,Indian Wells Masters,Hard,QF,1,31,6-4 6-1,94,4,1,42,26,16,1,67,0,0,1,Nicolas Kiefer,Federer,2005,3,2
2005-03-07,Indian Wells Masters,Hard,R16,1,13,7-6(3) 7-6(4),149,7,1,67,47,20,9,107,0,0,1,Ivan Ljubicic,Federer,2005,3,2
2005-03-07,Indian Wells Masters,Hard,R32,1,67,6-3 6-2,141,7,1,61,35,26,3,83,0,0,1,Gilles Muller,Federer,2005,3,2
2005-03-07,Indian Wells Masters,Hard,R64,1,49,6-3 6-3,106,1,0,50,31,19,1,74,0,0,1,Mardy Fish,Federer,2005,3,2
2005-02-21,Dubai,Hard,F,1,14,6-1 6-7(6) 6-3,191,6,2,102,63,39,5,136,0,0,1,Ivan Ljubicic,Federer,2005,2,3
2005-02-21,Dubai,Hard,SF,1,10,6-3 6-1,92,8,3,51,33,18,2,52,0,0,1,Andre Agassi,Federer,2005,2,2
2005-02-21,Dubai,Hard,QF,1,17,6-3 7-5,124,3,1,72,42,30,0,73,0,0,1,Mikhail Youzhny,Federer,2005,2,2
2005-02-21,Dubai,Hard,R16,1,98,4-6 6-3 7-6(6),202,7,1,100,66,34,1,136,0,0,1,Juan Carlos Ferrero,Federer,2005,2,3
2005-02-21,Dubai,Hard,R32,1,119,6-7(5) 6-3 7-6(5),209,11,4,99,62,37,6,124,0,0,1,Ivo Minar,Federer,2005,2,3
2005-02-14,Rotterdam,Hard,F,1,19,5-7 7-5 7-6(5),228,12,2,97,67,30,16,164,0,0,1,Ivan Ljubicic,Federer,2005,2,3
2005-02-14,Rotterdam,Hard,SF,1,31,7-5 6-3,117,5,2,49,32,17,8,88,0,0,1,Mario Ancic,Federer,2005,2,2
2005-02-14,Rotterdam,Hard,QF,1,15,7-5 7-5,155,6,1,88,54,34,2,101,0,0,1,Nikolay Davydenko,Federer,2005,2,2
2005-02-14,Rotterdam,Hard,R16,1,128,6-1 6-4,111,0,1,58,37,21,2,64,0,0,1,Stan Wawrinka,Federer,2005,2,2
2005-02-14,Rotterdam,Hard,R32,1,112,6-3 6-4,139,7,1,72,45,27,1,73,0,0,1,Bohdan Ulihrach,Federer,2005,2,2
2005-01-17,Australian Open,Hard,SF,1,4,5-7 6-4 5-7 7-6(6) 9-7,395,22,8,188,107,81,16,268,0,0,0,Marat Safin,Marat Safin,2005,1,5
2005-01-17,Australian Open,Hard,QF,1,8,6-3 6-4 6-4,178,22,4,99,65,34,1,99,0,0,1,Andre Agassi,Federer,2005,1,3
2005-01-17,Australian Open,Hard,R16,1,155,6-2 6-2 7-6(4),174,9,0,78,47,31,4,103,0,0,1,Marcos Baghdatis,Federer,2005,1,3
2005-01-17,Australian Open,Hard,R32,1,87,6-3 5-2 RET,105,2,1,49,35,14,1,57,1,0,1,Jarkko Nieminen,Federer,2005,1,3
2005-01-17,Australian Open,Hard,R64,1,203,6-3 6-4 6-4,189,7,0,84,59,25,7,113,0,0,1,Takao Suzuki,Federer,2005,1,3
2005-01-17,Australian Open,Hard,R128,1,49,6-1 6-1 6-2,166,4,1,68,41,27,1,94,0,0,1,Fabrice Santoro,Federer,2005,1,3
2005-01-03,Doha,Hard,F,1,22,6-3 6-1,95,3,0,44,31,13,0,63,0,0,1,Ivan Ljubicic,Federer,2005,1,2
2005-01-03,Doha,Hard,SF,1,28,6-3 6-4,110,7,0,58,37,21,0,65,0,0,1,Nikolay Davydenko,Federer,2005,1,2
2005-01-03,Doha,Hard,QF,1,25,6-1 6-2,88,6,1,41,27,14,0,51,0,0,1,Feliciano Lopez,Federer,2005,1,2
2005-01-03,Doha,Hard,R16,1,46,6-3 6-4,108,2,0,56,34,22,4,61,0,0,1,Greg Rusedski,Federer,2005,1,2
2005-01-03,Doha,Hard,R32,1,49,6-1 6-1,98,1,1,52,39,13,1,58,0,0,1,David Ferrer,Federer,2005,1,2
2004-11-15,Masters Cup,Hard,F,1,3,6-3 6-2,102,9,0,47,30,17,1,67,0,0,1,Lleyton Hewitt,Federer,2004,11,2
2004-11-15,Masters Cup,Hard,SF,1,4,6-3 7-6(18),167,8,0,81,50,31,6,108,0,0,1,Marat Safin,Federer,2004,11,2
2004-11-15,Masters Cup,Hard,RR,1,10,6-1 7-6(4),142,8,0,57,34,23,1,96,0,0,1,Gaston Gaudio,Federer,2004,11,2
2004-11-15,Masters Cup,Hard,RR,1,3,6-3 6-4,123,6,0,63,39,24,6,76,0,0,1,Lleyton Hewitt,Federer,2004,11,2
2004-11-15,Masters Cup,Hard,RR,1,5,6-3 3-6 6-3,178,9,2,91,64,27,6,107,0,0,1,Carlos Moya,Federer,2004,11,3
2004-09-27,Bangkok,Hard,F,1,2,6-4 6-0,109,11,2,52,32,20,8,57,0,0,1,Andy Roddick,Federer,2004,9,2
2004-09-27,Bangkok,Hard,SF,1,20,7-5 2-6 6-3,181,7,4,80,47,33,5,115,0,0,1,Paradorn Srichaphan,Federer,2004,9,3
2004-09-27,Bangkok,Hard,QF,1,50,7-6(3) 6-4,145,14,3,71,39,32,3,82,0,0,1,Robin Soderling,Federer,2004,9,2
2004-09-27,Bangkok,Hard,R16,1,129,6-1 6-3,93,6,1,46,26,20,3,51,0,0,1,Ivo Heuberger,Federer,2004,9,2
2004-09-27,Bangkok,Hard,R32,1,507,6-4 7-6(4),154,13,2,69,45,24,6,96,0,0,1,Nicolas Thomann,Federer,2004,9,2
2004-08-30,US Open,Hard,F,1,5,6-0 7-6(3) 6-0,164,11,1,89,49,40,1,109,0,0,1,Lleyton Hewitt,Federer,2004,8,3
2004-08-30,US Open,Hard,SF,1,6,6-3 6-4 6-4,158,7,2,84,53,31,4,104,0,0,1,Tim Henman,Federer,2004,8,3
2004-08-30,US Open,Hard,QF,1,7,6-3 2-6 7-5 3-6 6-3,300,16,9,158,101,57,4,180,0,0,1,Andre Agassi,Federer,2004,8,5
2004-08-30,US Open,Hard,R16,1,18,W/O,,,,,,,,,0,1,1,Andrei Pavel,,2004,8,1
2004-08-30,US Open,Hard,R32,1,34,6-0 6-4 7-6(7),191,10,2,96,59,37,2,123,0,0,1,Fabrice Santoro,Federer,2004,8,3
2004-08-30,US Open,Hard,R64,1,240,6-2 6-7(4) 6-3 6-1,221,8,5,104,61,43,5,124,0,0,1,Marcos Baghdatis,Federer,2004,8,4
2004-08-30,US Open,Hard,R128,1,44,7-5 6-2 6-4,182,11,5,73,49,24,1,120,0,0,1,Albert Costa,Federer,2004,8,3
2004-08-16,Athens Olympics,Hard,R32,1,79,4-6 7-5 7-5,,,,,,,,,0,0,0,Tomas Berdych,Tomas Berdych,2004,8,3
2004-08-16,Athens Olympics,Hard,R64,1,53,6-3 5-7 6-1,,,,,,,,,0,0,1,Nikolay Davydenko,Federer,2004,8,3
2004-08-02,Cincinnati Masters,Hard,R64,1,21,1-6 7-6(7) 6-4,187,11,2,86,55,31,4,110,0,0,0,Dominik Hrbaty,Dominik Hrbaty,2004,8,3
2004-07-26,Canada Masters,Hard,F,1,2,7-5 6-3,137,13,1,65,38,27,4,85,0,0,1,Andy Roddick,Federer,2004,7,2
2004-07-26,Canada Masters,Hard,SF,1,99,4-6 6-3 6-2,164,8,0,77,46,31,6,104,0,0,1,Thomas Johansson,Federer,2004,7,3
2004-07-26,Canada Masters,Hard,QF,1,58,7-5 6-4,159,4,1,65,46,19,3,97,0,0,1,Fabrice Santoro,Federer,2004,7,2
2004-07-26,Canada Masters,Hard,R16,1,34,7-6(3) 7-6(4),147,3,1,68,50,18,7,93,0,0,1,Max Mirnyi,Federer,2004,7,2
2004-07-26,Canada Masters,Hard,R32,1,50,7-5 6-1,114,13,0,67,47,20,2,64,0,0,1,Robin Soderling,Federer,2004,7,2
2004-07-26,Canada Masters,Hard,R64,1,36,6-3 7-5,138,12,5,68,40,28,4,88,0,0,1,Hicham Arazi,Federer,2004,7,2
2004-07-05,Gstaad,Clay,F,1,62,6-2 6-3 5-7 6-3,204,6,0,101,55,46,4,118,0,0,1,Igor Andreev,Federer,2004,7,4
2004-07-05,Gstaad,Clay,SF,1,145,6-3 3-6 6-3,165,7,1,77,49,28,2,91,0,0,1,Potito Starace,Federer,2004,7,3
2004-07-05,Gstaad,Clay,QF,1,72,6-1 5-7 6-4,172,7,4,90,51,39,5,98,0,0,1,Radek Stepanek,Federer,2004,7,3
2004-07-05,Gstaad,Clay,R16,1,59,6-7(5) 6-3 7-6(4),203,8,0,98,63,35,15,114,0,0,1,Ivo Karlovic,Federer,2004,7,3
2004-07-05,Gstaad,Clay,R32,1,130,6-1 6-1,93,9,2,38,21,17,0,47,0,0,1,Tomas Behrend,Federer,2004,7,2
2004-06-21,Wimbledon,Grass,F,1,2,4-6 7-5 7-6(3) 6-4,287,12,3,154,95,59,11,151,0,0,1,Andy Roddick,Federer,2004,6,4
2004-06-21,Wimbledon,Grass,SF,1,13,6-2 6-3 7-6(6),197,6,3,91,54,37,2,120,0,0,1,Sebastien Grosjean,Federer,2004,6,3
2004-06-21,Wimbledon,Grass,QF,1,10,6-1 6-7(1) 6-0 6-4,227,19,0,125,72,53,4,140,0,0,1,Lleyton Hewitt,Federer,2004,6,4
2004-06-21,Wimbledon,Grass,R16,1,62,6-3 7-6(3) 7-6(5),196,6,1,96,72,24,14,110,0,0,1,Ivo Karlovic,Federer,2004,6,3
2004-06-21,Wimbledon,Grass,R32,1,123,6-3 6-4 6-3,170,11,2,80,53,27,4,98,0,0,1,Thomas Johansson,Federer,2004,6,3
2004-06-21,Wimbledon,Grass,R64,1,138,6-1 6-2 6-0,109,6,1,57,43,14,2,54,0,0,1,Alejandro Falla,Federer,2004,6,3
2004-06-21,Wimbledon,Grass,R128,1,295,6-3 6-3 6-0,150,6,4,64,43,21,3,80,0,0,1,Alex Bogdanovic,Federer,2004,6,3
2004-06-07,Halle,Grass,F,1,23,6-0 6-3,102,3,0,42,31,11,3,57,0,0,1,Mardy Fish,Federer,2004,6,2
2004-06-07,Halle,Grass,SF,1,19,6-3 6-4,99,4,2,50,31,19,1,53,0,0,1,Jiri Novak,Federer,2004,6,2
2004-06-07,Halle,Grass,QF,1,37,6-3 7-5,118,5,4,56,39,17,1,72,0,0,1,Arnaud Clement,Federer,2004,6,2
2004-06-07,Halle,Grass,R16,1,34,6-2 6-1,122,3,0,42,26,16,4,69,0,0,1,Mikhail Youzhny,Federer,2004,6,2
2004-06-07,Halle,Grass,R32,1,191,6-3 6-2,118,10,4,56,34,22,3,69,0,0,1,Thomas Johansson,Federer,2004,6,2
2004-05-24,Roland Garros,Clay,R32,1,30,6-4 6-4 6-4,186,10,2,95,60,35,6,124,0,0,0,Gustavo Kuerten,Gustavo Kuerten,2004,5,3
2004-05-24,Roland Garros,Clay,R64,1,34,6-3 6-4 7-6(6),235,5,12,126,67,59,2,151,0,0,1,Nicolas Kiefer,Federer,2004,5,3
2004-05-24,Roland Garros,Clay,R128,1,110,6-1 6-2 6-1,128,4,1,54,33,21,0,76,0,0,1,Kristof Vliegen,Federer,2004,5,3
2004-05-10,Hamburg Masters,Clay,F,1,3,4-6 6-4 6-2 6-3,215,7,0,113,64,49,2,141,0,0,1,Guillermo Coria,Federer,2004,5,4
2004-05-10,Hamburg Masters,Clay,SF,1,17,6-0 6-4,93,5,0,41,28,13,1,61,0,0,1,Lleyton Hewitt,Federer,2004,5,2
2004-05-10,Hamburg Masters,Clay,QF,1,8,6-4 6-3,104,2,1,57,34,23,1,64,0,0,1,Carlos Moya,Federer,2004,5,2
2004-05-10,Hamburg Masters,Clay,R16,1,14,7-5 6-1,122,1,2,54,40,14,2,74,0,0,1,Fernando Gonzalez,Federer,2004,5,2
2004-05-10,Hamburg Masters,Clay,R32,1,67,6-3 6-3,93,1,0,46,30,16,4,60,0,0,1,Nicolas Lapentti,Federer,2004,5,2
2004-05-10,Hamburg Masters,Clay,R64,1,34,6-1 5-7 6-4,182,11,1,97,55,42,1,116,0,0,1,Gaston Gaudio,Federer,2004,5,3
2004-05-03,Rome Masters,Clay,R32,1,39,3-6 6-3 6-2,176,6,4,83,48,35,3,127,0,0,0,Albert Costa,Albert Costa,2004,5,3
